episode,total_reward,num_steps,avg_reward_per_step,model,seed
0,-54283.82,719,-75.5,dqn,999
1,-49813.28,719,-69.28,dqn,999
2,-28020.7,719,-38.97,dqn,999
3,-28692.39,719,-39.91,dqn,999
4,-45468.66,719,-63.24,dqn,999
5,-36851.62,719,-51.25,dqn,999
6,-32619.51,719,-45.37,dqn,999
7,-33782.27,719,-46.99,dqn,999
8,-35748.03,719,-49.72,dqn,999
9,-68017.84,719,-94.6,dqn,999
10,-40666.84,719,-56.56,dqn,999
11,-25940.56,719,-36.08,dqn,999
12,-45621.97,719,-63.45,dqn,999
13,-34847.98,719,-48.47,dqn,999
14,-43789.97,719,-60.9,dqn,999
15,-50701.25,719,-70.52,dqn,999
16,-42402.1,719,-58.97,dqn,999
17,-53073.6,719,-73.82,dqn,999
18,-54789.73,719,-76.2,dqn,999
19,-48877.31,719,-67.98,dqn,999
20,-29574.36,719,-41.13,dqn,999
21,-56394.95,719,-78.44,dqn,999
22,-46765.39,719,-65.04,dqn,999
23,-45463.57,719,-63.23,dqn,999
24,-47946.75,719,-66.69,dqn,999
25,-43555.38,719,-60.58,dqn,999
26,-49811.85,719,-69.28,dqn,999
27,-40353.16,719,-56.12,dqn,999
28,-56921.82,719,-79.17,dqn,999
29,-45127.62,719,-62.76,dqn,999
30,-41840.97,719,-58.19,dqn,999
31,-49736.07,719,-69.17,dqn,999
32,-30264.89,719,-42.09,dqn,999
33,-45647.73,719,-63.49,dqn,999
34,-58092.16,719,-80.8,dqn,999
35,-39994.6,719,-55.63,dqn,999
36,-41980.89,719,-58.39,dqn,999
37,-45338.85,719,-63.06,dqn,999
38,-51341.89,719,-71.41,dqn,999
39,-41095.41,719,-57.16,dqn,999
40,-31783.48,719,-44.21,dqn,999
41,-47594.16,719,-66.19,dqn,999
42,-32778.48,719,-45.59,dqn,999
43,-38389.55,719,-53.39,dqn,999
44,-36834.68,719,-51.23,dqn,999
45,-35884.08,719,-49.91,dqn,999
46,-38054.4,719,-52.93,dqn,999
47,-49846.8,719,-69.33,dqn,999
48,-44190.25,719,-61.46,dqn,999
49,-51997.41,719,-72.32,dqn,999
50,-37673.34,719,-52.4,dqn,999
51,-40978.8,719,-56.99,dqn,999
52,-36173.56,719,-50.31,dqn,999
53,-63002.13,719,-87.62,dqn,999
54,-38364.04,719,-53.36,dqn,999
55,-47309.7,719,-65.8,dqn,999
56,-59534.02,719,-82.8,dqn,999
57,-49577.19,719,-68.95,dqn,999
58,-47309.75,719,-65.8,dqn,999
59,-84717.29,719,-117.83,dqn,999
60,-58979.14,719,-82.03,dqn,999
61,-50856.03,719,-70.73,dqn,999
62,-58967.18,719,-82.01,dqn,999
63,-48521.13,719,-67.48,dqn,999
64,-57061.79,719,-79.36,dqn,999
65,-44639.37,719,-62.09,dqn,999
66,-37099.66,719,-51.6,dqn,999
67,-37236.98,719,-51.79,dqn,999
68,-49352.93,719,-68.64,dqn,999
69,-65445.76,719,-91.02,dqn,999
70,-29931.7,719,-41.63,dqn,999
