episode,total_reward,num_steps,avg_reward_per_step,model,seed
0,-30501.5,719,-42.42,dqn,123
1,-54994.99,719,-76.49,dqn,123
2,-41073.81,719,-57.13,dqn,123
3,-37231.96,719,-51.78,dqn,123
4,-42838.07,719,-59.58,dqn,123
5,-44264.93,719,-61.56,dqn,123
6,-47902.12,719,-66.62,dqn,123
7,-44104.36,719,-61.34,dqn,123
8,-67980.08,719,-94.55,dqn,123
9,-38876.8,719,-54.07,dqn,123
10,-46212.23,719,-64.27,dqn,123
11,-52814.73,719,-73.46,dqn,123
12,-50275.71,719,-69.92,dqn,123
13,-54823.42,719,-76.25,dqn,123
14,-46204.22,719,-64.26,dqn,123
15,-32399.19,719,-45.06,dqn,123
16,-42486.88,719,-59.09,dqn,123
17,-33697.72,719,-46.87,dqn,123
18,-28932.0,719,-40.24,dqn,123
19,-56446.01,719,-78.51,dqn,123
20,-60580.46,719,-84.26,dqn,123
21,-54210.64,719,-75.4,dqn,123
22,-50633.28,719,-70.42,dqn,123
23,-52509.96,719,-73.03,dqn,123
24,-35567.2,719,-49.47,dqn,123
25,-61881.73,719,-86.07,dqn,123
26,-47491.49,719,-66.05,dqn,123
27,-57563.68,719,-80.06,dqn,123
28,-46985.67,719,-65.35,dqn,123
29,-48110.27,719,-66.91,dqn,123
30,-46014.3,719,-64.0,dqn,123
31,-46566.25,719,-64.77,dqn,123
32,-31311.91,719,-43.55,dqn,123
33,-58814.86,719,-81.8,dqn,123
34,-45146.26,719,-62.79,dqn,123
35,-33607.64,719,-46.74,dqn,123
36,-41647.65,719,-57.92,dqn,123
37,-42177.87,719,-58.66,dqn,123
38,-37273.65,719,-51.84,dqn,123
39,-53907.4,719,-74.98,dqn,123
40,-44990.87,719,-62.57,dqn,123
41,-49186.43,719,-68.41,dqn,123
42,-37755.29,719,-52.51,dqn,123
43,-57525.56,719,-80.01,dqn,123
44,-47632.33,719,-66.25,dqn,123
45,-41045.67,719,-57.09,dqn,123
46,-41647.6,719,-57.92,dqn,123
47,-50278.08,719,-69.93,dqn,123
48,-39685.6,719,-55.2,dqn,123
49,-58611.05,719,-81.52,dqn,123
50,-58169.5,719,-80.9,dqn,123
51,-54019.18,719,-75.13,dqn,123
52,-47267.59,719,-65.74,dqn,123
53,-32736.46,719,-45.53,dqn,123
54,-43226.32,719,-60.12,dqn,123
55,-33768.01,719,-46.97,dqn,123
56,-36603.95,719,-50.91,dqn,123
57,-35823.52,719,-49.82,dqn,123
58,-59429.37,719,-82.66,dqn,123
59,-61707.28,719,-85.82,dqn,123
60,-41461.06,719,-57.66,dqn,123
61,-43768.35,719,-60.87,dqn,123
62,-54410.99,719,-75.68,dqn,123
63,-45430.27,719,-63.19,dqn,123
64,-41986.26,719,-58.4,dqn,123
65,-51622.26,719,-71.8,dqn,123
66,-37062.92,719,-51.55,dqn,123
67,-45748.63,719,-63.63,dqn,123
68,-46884.19,719,-65.21,dqn,123
69,-38018.37,719,-52.88,dqn,123
70,-45276.75,719,-62.97,dqn,123
71,-37187.55,719,-51.72,dqn,123
72,-47400.14,719,-65.93,dqn,123
73,-36573.47,719,-50.87,dqn,123
74,-32234.17,719,-44.83,dqn,123
75,-52472.87,719,-72.98,dqn,123
76,-42169.66,719,-58.65,dqn,123
77,-38533.62,719,-53.59,dqn,123
78,-57346.94,719,-79.76,dqn,123
79,-30995.71,719,-43.11,dqn,123
80,-50287.35,719,-69.94,dqn,123
81,-48713.64,719,-67.75,dqn,123
82,-26427.27,719,-36.76,dqn,123
83,-52289.94,719,-72.73,dqn,123
84,-33739.06,719,-46.92,dqn,123
85,-46120.41,719,-64.15,dqn,123
86,-44826.67,719,-62.35,dqn,123
87,-42694.7,719,-59.38,dqn,123
88,-42664.36,719,-59.34,dqn,123
89,-60479.67,719,-84.12,dqn,123
90,-40755.56,719,-56.68,dqn,123
91,-34650.45,719,-48.19,dqn,123
92,-47320.89,719,-65.81,dqn,123
93,-43816.32,719,-60.94,dqn,123
94,-41560.33,719,-57.8,dqn,123
95,-44696.26,719,-62.16,dqn,123
96,-39278.43,719,-54.63,dqn,123
97,-49220.27,719,-68.46,dqn,123
98,-52908.75,719,-73.59,dqn,123
99,-36026.04,719,-50.11,dqn,123
100,-43490.42,719,-60.49,dqn,123
101,-57805.87,719,-80.4,dqn,123
102,-41698.52,719,-58.0,dqn,123
103,-47112.14,719,-65.52,dqn,123
104,-45628.27,719,-63.46,dqn,123
105,-41939.76,719,-58.33,dqn,123
106,-30699.61,719,-42.7,dqn,123
107,-48229.82,719,-67.08,dqn,123
108,-43336.46,719,-60.27,dqn,123
109,-42837.55,719,-59.58,dqn,123
110,-37908.19,719,-52.72,dqn,123
111,-45157.55,719,-62.81,dqn,123
112,-49130.01,719,-68.33,dqn,123
113,-47278.1,719,-65.76,dqn,123
114,-45326.62,719,-63.04,dqn,123
115,-46672.64,719,-64.91,dqn,123
116,-41427.41,719,-57.62,dqn,123
117,-40892.49,719,-56.87,dqn,123
118,-52933.11,719,-73.62,dqn,123
119,-69675.59,719,-96.91,dqn,123
120,-36946.19,719,-51.39,dqn,123
121,-55863.41,719,-77.7,dqn,123
122,-41317.87,719,-57.47,dqn,123
123,-42689.03,719,-59.37,dqn,123
124,-44173.5,719,-61.44,dqn,123
125,-33080.54,719,-46.01,dqn,123
126,-39750.97,719,-55.29,dqn,123
127,-40417.93,719,-56.21,dqn,123
128,-44010.96,719,-61.21,dqn,123
129,-32577.65,719,-45.31,dqn,123
130,-42529.66,719,-59.15,dqn,123
131,-55557.89,719,-77.27,dqn,123
132,-52518.69,719,-73.04,dqn,123
133,-58515.99,719,-81.39,dqn,123
134,-56483.35,719,-78.56,dqn,123
135,-65995.01,719,-91.79,dqn,123
136,-50279.46,719,-69.93,dqn,123
137,-61693.68,719,-85.8,dqn,123
138,-39429.5,719,-54.84,dqn,123
139,-35986.74,719,-50.05,dqn,123
140,-48872.51,719,-67.97,dqn,123
141,-58492.17,719,-81.35,dqn,123
142,-42667.57,719,-59.34,dqn,123
143,-39310.47,719,-54.67,dqn,123
144,-57987.62,719,-80.65,dqn,123
145,-37092.16,719,-51.59,dqn,123
146,-39636.56,719,-55.13,dqn,123
147,-51211.34,719,-71.23,dqn,123
148,-46327.2,719,-64.43,dqn,123
149,-42011.21,719,-58.43,dqn,123
150,-37431.85,719,-52.06,dqn,123
151,-53348.57,719,-74.2,dqn,123
152,-36476.19,719,-50.73,dqn,123
153,-41490.09,719,-57.71,dqn,123
154,-42106.85,719,-58.56,dqn,123
155,-34823.65,719,-48.43,dqn,123
156,-46371.39,719,-64.49,dqn,123
157,-42950.63,719,-59.74,dqn,123
158,-50364.27,719,-70.05,dqn,123
159,-30386.8,719,-42.26,dqn,123
160,-50634.85,719,-70.42,dqn,123
161,-45015.66,719,-62.61,dqn,123
162,-33008.94,719,-45.91,dqn,123
163,-28200.12,719,-39.22,dqn,123
164,-32032.27,719,-44.55,dqn,123
165,-22292.96,719,-31.01,dqn,123
166,-54848.99,719,-76.29,dqn,123
167,-46594.77,719,-64.8,dqn,123
168,-60747.3,719,-84.49,dqn,123
169,-47010.89,719,-65.38,dqn,123
170,-44710.72,719,-62.18,dqn,123
171,-45095.32,719,-62.72,dqn,123
172,-42993.08,719,-59.8,dqn,123
173,-39839.69,719,-55.41,dqn,123
174,-30180.67,719,-41.98,dqn,123
175,-39408.87,719,-54.81,dqn,123
176,-45579.31,719,-63.39,dqn,123
177,-46208.85,719,-64.27,dqn,123
178,-34897.26,719,-48.54,dqn,123
179,-31593.46,719,-43.94,dqn,123
180,-37033.06,719,-51.51,dqn,123
181,-46735.81,719,-65.0,dqn,123
182,-54015.31,719,-75.13,dqn,123
183,-59778.85,719,-83.14,dqn,123
184,-28802.28,719,-40.06,dqn,123
185,-40854.91,719,-56.82,dqn,123
186,-38172.47,719,-53.09,dqn,123
187,-40156.31,719,-55.85,dqn,123
188,-31765.22,719,-44.18,dqn,123
189,-39471.91,719,-54.9,dqn,123
190,-36313.37,719,-50.51,dqn,123
191,-34907.58,719,-48.55,dqn,123
192,-40381.96,719,-56.16,dqn,123
193,-40372.05,719,-56.15,dqn,123
194,-48911.86,719,-68.03,dqn,123
195,-56278.35,719,-78.27,dqn,123
196,-55037.8,719,-76.55,dqn,123
197,-41477.65,719,-57.69,dqn,123
198,-72503.99,719,-100.84,dqn,123
199,-42743.21,719,-59.45,dqn,123
200,-60799.43,719,-84.56,dqn,123
201,-50085.02,719,-69.66,dqn,123
202,-38203.04,719,-53.13,dqn,123
203,-56669.99,719,-78.82,dqn,123
204,-46358.87,719,-64.48,dqn,123
205,-67396.26,719,-93.74,dqn,123
206,-47206.91,719,-65.66,dqn,123
207,-48661.04,719,-67.68,dqn,123
208,-49427.85,719,-68.75,dqn,123
209,-51144.68,719,-71.13,dqn,123
210,-31406.54,719,-43.68,dqn,123
211,-36243.52,719,-50.41,dqn,123
212,-48543.68,719,-67.52,dqn,123
213,-43671.3,719,-60.74,dqn,123
214,-50609.95,719,-70.39,dqn,123
215,-42579.08,719,-59.22,dqn,123
216,-40741.59,719,-56.66,dqn,123
217,-46340.39,719,-64.45,dqn,123
218,-66885.42,719,-93.03,dqn,123
219,-38216.54,719,-53.15,dqn,123
220,-48000.87,719,-66.76,dqn,123
221,-46009.93,719,-63.99,dqn,123
222,-50506.5,719,-70.25,dqn,123
223,-52371.25,719,-72.84,dqn,123
224,-75868.66,719,-105.52,dqn,123
225,-41915.98,719,-58.3,dqn,123
226,-33747.49,719,-46.94,dqn,123
227,-37008.97,719,-51.47,dqn,123
228,-35067.21,719,-48.77,dqn,123
229,-35561.22,719,-49.46,dqn,123
230,-35191.63,719,-48.95,dqn,123
231,-59612.99,719,-82.91,dqn,123
232,-58989.95,719,-82.04,dqn,123
233,-58261.88,719,-81.03,dqn,123
234,-43630.67,719,-60.68,dqn,123
235,-60506.54,719,-84.15,dqn,123
236,-59051.18,719,-82.13,dqn,123
237,-45995.14,719,-63.97,dqn,123
238,-49936.79,719,-69.45,dqn,123
239,-47035.45,719,-65.42,dqn,123
240,-47578.64,719,-66.17,dqn,123
241,-37502.3,719,-52.16,dqn,123
242,-43620.12,719,-60.67,dqn,123
243,-52033.82,719,-72.37,dqn,123
244,-38311.97,719,-53.29,dqn,123
245,-48399.99,719,-67.32,dqn,123
246,-40737.49,719,-56.66,dqn,123
247,-39750.07,719,-55.29,dqn,123
248,-42680.58,719,-59.36,dqn,123
249,-42134.73,719,-58.6,dqn,123
250,-32103.69,719,-44.65,dqn,123
251,-39520.03,719,-54.97,dqn,123
252,-39099.93,719,-54.38,dqn,123
253,-43973.07,719,-61.16,dqn,123
254,-33099.87,719,-46.04,dqn,123
255,-32867.85,719,-45.71,dqn,123
256,-55583.45,719,-77.31,dqn,123
257,-54188.79,719,-75.37,dqn,123
258,-54349.63,719,-75.59,dqn,123
259,-66948.28,719,-93.11,dqn,123
260,-44006.93,719,-61.21,dqn,123
261,-45311.67,719,-63.02,dqn,123
262,-44054.22,719,-61.27,dqn,123
263,-74221.28,719,-103.23,dqn,123
264,-64693.86,719,-89.98,dqn,123
265,-60250.53,719,-83.8,dqn,123
266,-43860.03,719,-61.0,dqn,123
267,-56436.94,719,-78.49,dqn,123
268,-42210.58,719,-58.71,dqn,123
269,-40910.17,719,-56.9,dqn,123
270,-51422.46,719,-71.52,dqn,123
271,-47337.92,719,-65.84,dqn,123
272,-45068.56,719,-62.68,dqn,123
273,-49353.59,719,-68.64,dqn,123
274,-42524.54,719,-59.14,dqn,123
275,-43730.67,719,-60.82,dqn,123
276,-50144.51,719,-69.74,dqn,123
277,-43183.93,719,-60.06,dqn,123
278,-60479.47,719,-84.12,dqn,123
279,-37692.91,719,-52.42,dqn,123
280,-39156.37,719,-54.46,dqn,123
281,-63264.31,719,-87.99,dqn,123
282,-42212.56,719,-58.71,dqn,123
283,-48113.35,719,-66.92,dqn,123
284,-48374.29,719,-67.28,dqn,123
285,-39995.78,719,-55.63,dqn,123
286,-39369.1,719,-54.76,dqn,123
287,-45523.39,719,-63.31,dqn,123
288,-47558.35,719,-66.15,dqn,123
289,-56377.41,719,-78.41,dqn,123
290,-61071.1,719,-84.94,dqn,123
291,-54659.39,719,-76.02,dqn,123
292,-66040.16,719,-91.85,dqn,123
293,-44654.91,719,-62.11,dqn,123
294,-30639.32,719,-42.61,dqn,123
295,-40472.64,719,-56.29,dqn,123
296,-47827.92,719,-66.52,dqn,123
297,-46677.32,719,-64.92,dqn,123
298,-58334.21,719,-81.13,dqn,123
299,-46290.51,719,-64.38,dqn,123
300,-47986.15,719,-66.74,dqn,123
301,-80384.0,719,-111.8,dqn,123
302,-38772.52,719,-53.93,dqn,123
303,-43786.66,719,-60.9,dqn,123
304,-42601.64,719,-59.25,dqn,123
305,-43885.97,719,-61.04,dqn,123
306,-39502.33,719,-54.94,dqn,123
307,-55018.54,719,-76.52,dqn,123
308,-54941.78,719,-76.41,dqn,123
309,-41838.63,719,-58.19,dqn,123
310,-32059.6,719,-44.59,dqn,123
311,-40571.46,719,-56.43,dqn,123
312,-53611.86,719,-74.56,dqn,123
313,-34884.03,719,-48.52,dqn,123
314,-45345.5,719,-63.07,dqn,123
315,-32681.12,719,-45.45,dqn,123
316,-42728.35,719,-59.43,dqn,123
317,-47076.44,719,-65.47,dqn,123
318,-45177.18,719,-62.83,dqn,123
319,-48625.87,719,-67.63,dqn,123
320,-62070.47,719,-86.33,dqn,123
321,-65508.7,719,-91.11,dqn,123
322,-52688.77,719,-73.28,dqn,123
323,-52718.89,719,-73.32,dqn,123
324,-29194.33,719,-40.6,dqn,123
325,-57342.62,719,-79.75,dqn,123
326,-40379.15,719,-56.16,dqn,123
327,-30263.99,719,-42.09,dqn,123
328,-40894.5,719,-56.88,dqn,123
329,-49581.12,719,-68.96,dqn,123
330,-42432.63,719,-59.02,dqn,123
331,-41052.16,719,-57.1,dqn,123
332,-60649.29,719,-84.35,dqn,123
333,-53039.16,719,-73.77,dqn,123
334,-39986.6,719,-55.61,dqn,123
335,-38637.96,719,-53.74,dqn,123
336,-61224.61,719,-85.15,dqn,123
337,-45817.46,719,-63.72,dqn,123
338,-41181.99,719,-57.28,dqn,123
339,-49117.45,719,-68.31,dqn,123
340,-53970.14,719,-75.06,dqn,123
341,-36730.92,719,-51.09,dqn,123
342,-59622.14,719,-82.92,dqn,123
343,-38742.72,719,-53.88,dqn,123
344,-52183.24,719,-72.58,dqn,123
345,-45348.17,719,-63.07,dqn,123
346,-36358.58,719,-50.57,dqn,123
347,-64210.22,719,-89.3,dqn,123
348,-36875.56,719,-51.29,dqn,123
349,-37958.58,719,-52.79,dqn,123
350,-43103.43,719,-59.95,dqn,123
351,-49138.93,719,-68.34,dqn,123
352,-50764.94,719,-70.6,dqn,123
353,-36118.81,719,-50.23,dqn,123
354,-45232.82,719,-62.91,dqn,123
355,-48583.19,719,-67.57,dqn,123
356,-42759.37,719,-59.47,dqn,123
357,-49102.19,719,-68.29,dqn,123
358,-43231.56,719,-60.13,dqn,123
359,-45041.92,719,-62.65,dqn,123
360,-36742.16,719,-51.1,dqn,123
361,-44493.12,719,-61.88,dqn,123
362,-38055.99,719,-52.93,dqn,123
363,-49223.32,719,-68.46,dqn,123
364,-40393.73,719,-56.18,dqn,123
365,-35817.29,719,-49.82,dqn,123
366,-38306.25,719,-53.28,dqn,123
367,-49794.73,719,-69.26,dqn,123
368,-24980.89,719,-34.74,dqn,123
369,-46606.31,719,-64.82,dqn,123
370,-58343.49,719,-81.15,dqn,123
371,-36661.35,719,-50.99,dqn,123
372,-36804.75,719,-51.19,dqn,123
373,-39103.89,719,-54.39,dqn,123
374,-35105.29,719,-48.83,dqn,123
375,-58618.08,719,-81.53,dqn,123
376,-44524.04,719,-61.92,dqn,123
377,-44657.29,719,-62.11,dqn,123
378,-73894.19,719,-102.77,dqn,123
379,-26015.68,719,-36.18,dqn,123
380,-39280.48,719,-54.63,dqn,123
381,-46736.78,719,-65.0,dqn,123
382,-45382.83,719,-63.12,dqn,123
383,-42513.3,719,-59.13,dqn,123
384,-41311.71,719,-57.46,dqn,123
385,-48462.66,719,-67.4,dqn,123
386,-34498.81,719,-47.98,dqn,123
387,-28451.77,719,-39.57,dqn,123
388,-47570.08,719,-66.16,dqn,123
389,-64609.66,719,-89.86,dqn,123
390,-42253.8,719,-58.77,dqn,123
391,-40141.6,719,-55.83,dqn,123
392,-40575.07,719,-56.43,dqn,123
