episode,total_reward,num_steps,avg_reward_per_step,model,seed
0,-59950.89,719,-83.38,dqn,42
1,-43631.52,719,-60.68,dqn,42
2,-46542.75,719,-64.73,dqn,42
3,-48065.42,719,-66.85,dqn,42
4,-50943.07,719,-70.85,dqn,42
5,-34111.18,719,-47.44,dqn,42
6,-41495.26,719,-57.71,dqn,42
7,-32884.96,719,-45.74,dqn,42
8,-27645.34,719,-38.45,dqn,42
9,-28561.28,719,-39.72,dqn,42
10,-37364.01,719,-51.97,dqn,42
11,-32019.97,719,-44.53,dqn,42
12,-45532.24,719,-63.33,dqn,42
13,-39098.67,719,-54.38,dqn,42
14,-50355.33,719,-70.04,dqn,42
15,-39929.67,719,-55.54,dqn,42
16,-44848.86,719,-62.38,dqn,42
17,-28131.22,719,-39.13,dqn,42
18,-44395.38,719,-61.75,dqn,42
19,-53457.77,719,-74.35,dqn,42
20,-37836.81,719,-52.62,dqn,42
21,-34578.87,719,-48.09,dqn,42
22,-52196.91,719,-72.6,dqn,42
23,-55733.3,719,-77.52,dqn,42
24,-40740.11,719,-56.66,dqn,42
25,-71165.01,719,-98.98,dqn,42
26,-67615.05,719,-94.04,dqn,42
27,-31495.2,719,-43.8,dqn,42
28,-47013.23,719,-65.39,dqn,42
29,-36008.34,719,-50.08,dqn,42
30,-56265.42,719,-78.26,dqn,42
31,-71379.94,719,-99.28,dqn,42
32,-36991.82,719,-51.45,dqn,42
33,-42887.69,719,-59.65,dqn,42
34,-38752.41,719,-53.9,dqn,42
35,-34510.63,719,-48.0,dqn,42
36,-37095.32,719,-51.59,dqn,42
37,-51969.21,719,-72.28,dqn,42
38,-35817.7,719,-49.82,dqn,42
39,-37365.81,719,-51.97,dqn,42
40,-42972.68,719,-59.77,dqn,42
41,-44336.58,719,-61.66,dqn,42
42,-38138.06,719,-53.04,dqn,42
43,-55862.42,719,-77.69,dqn,42
44,-38530.73,719,-53.59,dqn,42
45,-48563.84,719,-67.54,dqn,42
