episode,total_reward,num_steps,avg_reward_per_step,model,seed
0,-148353.14,719,-206.33,logistic_regression,999
1,-148353.14,719,-206.33,logistic_regression,999
2,-148353.14,719,-206.33,logistic_regression,999
3,-148353.14,719,-206.33,logistic_regression,999
4,-148353.14,719,-206.33,logistic_regression,999
5,-148353.14,719,-206.33,logistic_regression,999
6,-148353.14,719,-206.33,logistic_regression,999
7,-148353.14,719,-206.33,logistic_regression,999
8,-148353.14,719,-206.33,logistic_regression,999
9,-148353.14,719,-206.33,logistic_regression,999
10,-148353.14,719,-206.33,logistic_regression,999
11,-148353.14,719,-206.33,logistic_regression,999
12,-148353.14,719,-206.33,logistic_regression,999
13,-148353.14,719,-206.33,logistic_regression,999
14,-148353.14,719,-206.33,logistic_regression,999
15,-148353.14,719,-206.33,logistic_regression,999
16,-148353.14,719,-206.33,logistic_regression,999
17,-148353.14,719,-206.33,logistic_regression,999
18,-148353.14,719,-206.33,logistic_regression,999
19,-148353.14,719,-206.33,logistic_regression,999
20,-148353.14,719,-206.33,logistic_regression,999
21,-148353.14,719,-206.33,logistic_regression,999
22,-148353.14,719,-206.33,logistic_regression,999
23,-148353.14,719,-206.33,logistic_regression,999
24,-148353.14,719,-206.33,logistic_regression,999
25,-148353.14,719,-206.33,logistic_regression,999
26,-148353.14,719,-206.33,logistic_regression,999
27,-148353.14,719,-206.33,logistic_regression,999
28,-148353.14,719,-206.33,logistic_regression,999
29,-148353.14,719,-206.33,logistic_regression,999
30,-148353.14,719,-206.33,logistic_regression,999
31,-148353.14,719,-206.33,logistic_regression,999
32,-148353.14,719,-206.33,logistic_regression,999
33,-148353.14,719,-206.33,logistic_regression,999
34,-148353.14,719,-206.33,logistic_regression,999
35,-148353.14,719,-206.33,logistic_regression,999
36,-148353.14,719,-206.33,logistic_regression,999
37,-148353.14,719,-206.33,logistic_regression,999
38,-148353.14,719,-206.33,logistic_regression,999
39,-148353.14,719,-206.33,logistic_regression,999
40,-148353.14,719,-206.33,logistic_regression,999
41,-148353.14,719,-206.33,logistic_regression,999
42,-148353.14,719,-206.33,logistic_regression,999
43,-148353.14,719,-206.33,logistic_regression,999
44,-148353.14,719,-206.33,logistic_regression,999
45,-148353.14,719,-206.33,logistic_regression,999
46,-148353.14,719,-206.33,logistic_regression,999
47,-148353.14,719,-206.33,logistic_regression,999
48,-148353.14,719,-206.33,logistic_regression,999
49,-148353.14,719,-206.33,logistic_regression,999
50,-148353.14,719,-206.33,logistic_regression,999
51,-148353.14,719,-206.33,logistic_regression,999
52,-148353.14,719,-206.33,logistic_regression,999
53,-148353.14,719,-206.33,logistic_regression,999
54,-148353.14,719,-206.33,logistic_regression,999
55,-148353.14,719,-206.33,logistic_regression,999
56,-148353.14,719,-206.33,logistic_regression,999
57,-148353.14,719,-206.33,logistic_regression,999
58,-148353.14,719,-206.33,logistic_regression,999
59,-148353.14,719,-206.33,logistic_regression,999
60,-148353.14,719,-206.33,logistic_regression,999
61,-148353.14,719,-206.33,logistic_regression,999
62,-148353.14,719,-206.33,logistic_regression,999
63,-148353.14,719,-206.33,logistic_regression,999
64,-148353.14,719,-206.33,logistic_regression,999
65,-148353.14,719,-206.33,logistic_regression,999
66,-148353.14,719,-206.33,logistic_regression,999
67,-148353.14,719,-206.33,logistic_regression,999
68,-148353.14,719,-206.33,logistic_regression,999
69,-148353.14,719,-206.33,logistic_regression,999
70,-148353.14,719,-206.33,logistic_regression,999
71,-148353.14,719,-206.33,logistic_regression,999
72,-148353.14,719,-206.33,logistic_regression,999
73,-148353.14,719,-206.33,logistic_regression,999
74,-148353.14,719,-206.33,logistic_regression,999
75,-148353.14,719,-206.33,logistic_regression,999
76,-148353.14,719,-206.33,logistic_regression,999
77,-148353.14,719,-206.33,logistic_regression,999
78,-148353.14,719,-206.33,logistic_regression,999
79,-148353.14,719,-206.33,logistic_regression,999
80,-148353.14,719,-206.33,logistic_regression,999
81,-148353.14,719,-206.33,logistic_regression,999
82,-148353.14,719,-206.33,logistic_regression,999
83,-148353.14,719,-206.33,logistic_regression,999
84,-148353.14,719,-206.33,logistic_regression,999
85,-148353.14,719,-206.33,logistic_regression,999
86,-148353.14,719,-206.33,logistic_regression,999
87,-148353.14,719,-206.33,logistic_regression,999
88,-148353.14,719,-206.33,logistic_regression,999
89,-148353.14,719,-206.33,logistic_regression,999
90,-148353.14,719,-206.33,logistic_regression,999
91,-148353.14,719,-206.33,logistic_regression,999
92,-148353.14,719,-206.33,logistic_regression,999
93,-148353.14,719,-206.33,logistic_regression,999
94,-148353.14,719,-206.33,logistic_regression,999
95,-148353.14,719,-206.33,logistic_regression,999
96,-148353.14,719,-206.33,logistic_regression,999
97,-148353.14,719,-206.33,logistic_regression,999
98,-148353.14,719,-206.33,logistic_regression,999
99,-148353.14,719,-206.33,logistic_regression,999
100,-148353.14,719,-206.33,logistic_regression,999
101,-148353.14,719,-206.33,logistic_regression,999
102,-148353.14,719,-206.33,logistic_regression,999
103,-148353.14,719,-206.33,logistic_regression,999
104,-148353.14,719,-206.33,logistic_regression,999
105,-148353.14,719,-206.33,logistic_regression,999
106,-148353.14,719,-206.33,logistic_regression,999
107,-148353.14,719,-206.33,logistic_regression,999
108,-148353.14,719,-206.33,logistic_regression,999
109,-148353.14,719,-206.33,logistic_regression,999
110,-148353.14,719,-206.33,logistic_regression,999
111,-148353.14,719,-206.33,logistic_regression,999
112,-148353.14,719,-206.33,logistic_regression,999
113,-148353.14,719,-206.33,logistic_regression,999
114,-148353.14,719,-206.33,logistic_regression,999
115,-148353.14,719,-206.33,logistic_regression,999
116,-148353.14,719,-206.33,logistic_regression,999
117,-148353.14,719,-206.33,logistic_regression,999
118,-148353.14,719,-206.33,logistic_regression,999
119,-148353.14,719,-206.33,logistic_regression,999
120,-148353.14,719,-206.33,logistic_regression,999
121,-148353.14,719,-206.33,logistic_regression,999
122,-148353.14,719,-206.33,logistic_regression,999
123,-148353.14,719,-206.33,logistic_regression,999
124,-148353.14,719,-206.33,logistic_regression,999
125,-148353.14,719,-206.33,logistic_regression,999
126,-148353.14,719,-206.33,logistic_regression,999
127,-148353.14,719,-206.33,logistic_regression,999
128,-148353.14,719,-206.33,logistic_regression,999
129,-148353.14,719,-206.33,logistic_regression,999
130,-148353.14,719,-206.33,logistic_regression,999
131,-148353.14,719,-206.33,logistic_regression,999
132,-148353.14,719,-206.33,logistic_regression,999
133,-148353.14,719,-206.33,logistic_regression,999
134,-148353.14,719,-206.33,logistic_regression,999
135,-148353.14,719,-206.33,logistic_regression,999
136,-148353.14,719,-206.33,logistic_regression,999
137,-148353.14,719,-206.33,logistic_regression,999
138,-148353.14,719,-206.33,logistic_regression,999
139,-148353.14,719,-206.33,logistic_regression,999
140,-148353.14,719,-206.33,logistic_regression,999
141,-148353.14,719,-206.33,logistic_regression,999
142,-148353.14,719,-206.33,logistic_regression,999
143,-148353.14,719,-206.33,logistic_regression,999
144,-148353.14,719,-206.33,logistic_regression,999
145,-148353.14,719,-206.33,logistic_regression,999
146,-148353.14,719,-206.33,logistic_regression,999
147,-148353.14,719,-206.33,logistic_regression,999
148,-148353.14,719,-206.33,logistic_regression,999
149,-148353.14,719,-206.33,logistic_regression,999
