episode,total_reward,num_steps,avg_reward_per_step,model,seed
0,-148353.14,719,-206.33,logistic_regression,123
1,-148353.14,719,-206.33,logistic_regression,123
2,-148353.14,719,-206.33,logistic_regression,123
3,-148353.14,719,-206.33,logistic_regression,123
4,-148353.14,719,-206.33,logistic_regression,123
5,-148353.14,719,-206.33,logistic_regression,123
6,-148353.14,719,-206.33,logistic_regression,123
7,-148353.14,719,-206.33,logistic_regression,123
8,-148353.14,719,-206.33,logistic_regression,123
9,-148353.14,719,-206.33,logistic_regression,123
10,-148353.14,719,-206.33,logistic_regression,123
11,-148353.14,719,-206.33,logistic_regression,123
12,-148353.14,719,-206.33,logistic_regression,123
13,-148353.14,719,-206.33,logistic_regression,123
14,-148353.14,719,-206.33,logistic_regression,123
15,-148353.14,719,-206.33,logistic_regression,123
16,-148353.14,719,-206.33,logistic_regression,123
17,-148353.14,719,-206.33,logistic_regression,123
18,-148353.14,719,-206.33,logistic_regression,123
19,-148353.14,719,-206.33,logistic_regression,123
20,-148353.14,719,-206.33,logistic_regression,123
21,-148353.14,719,-206.33,logistic_regression,123
22,-148353.14,719,-206.33,logistic_regression,123
23,-148353.14,719,-206.33,logistic_regression,123
24,-148353.14,719,-206.33,logistic_regression,123
25,-148353.14,719,-206.33,logistic_regression,123
26,-148353.14,719,-206.33,logistic_regression,123
27,-148353.14,719,-206.33,logistic_regression,123
28,-148353.14,719,-206.33,logistic_regression,123
29,-148353.14,719,-206.33,logistic_regression,123
30,-148353.14,719,-206.33,logistic_regression,123
31,-148353.14,719,-206.33,logistic_regression,123
32,-148353.14,719,-206.33,logistic_regression,123
33,-148353.14,719,-206.33,logistic_regression,123
34,-148353.14,719,-206.33,logistic_regression,123
35,-148353.14,719,-206.33,logistic_regression,123
36,-148353.14,719,-206.33,logistic_regression,123
37,-148353.14,719,-206.33,logistic_regression,123
38,-148353.14,719,-206.33,logistic_regression,123
39,-148353.14,719,-206.33,logistic_regression,123
40,-148353.14,719,-206.33,logistic_regression,123
41,-148353.14,719,-206.33,logistic_regression,123
42,-148353.14,719,-206.33,logistic_regression,123
43,-148353.14,719,-206.33,logistic_regression,123
44,-148353.14,719,-206.33,logistic_regression,123
45,-148353.14,719,-206.33,logistic_regression,123
46,-148353.14,719,-206.33,logistic_regression,123
47,-148353.14,719,-206.33,logistic_regression,123
48,-148353.14,719,-206.33,logistic_regression,123
49,-148353.14,719,-206.33,logistic_regression,123
50,-148353.14,719,-206.33,logistic_regression,123
51,-148353.14,719,-206.33,logistic_regression,123
52,-148353.14,719,-206.33,logistic_regression,123
53,-148353.14,719,-206.33,logistic_regression,123
54,-148353.14,719,-206.33,logistic_regression,123
55,-148353.14,719,-206.33,logistic_regression,123
56,-148353.14,719,-206.33,logistic_regression,123
57,-148353.14,719,-206.33,logistic_regression,123
58,-148353.14,719,-206.33,logistic_regression,123
59,-148353.14,719,-206.33,logistic_regression,123
60,-148353.14,719,-206.33,logistic_regression,123
61,-148353.14,719,-206.33,logistic_regression,123
62,-148353.14,719,-206.33,logistic_regression,123
63,-148353.14,719,-206.33,logistic_regression,123
64,-148353.14,719,-206.33,logistic_regression,123
65,-148353.14,719,-206.33,logistic_regression,123
66,-148353.14,719,-206.33,logistic_regression,123
67,-148353.14,719,-206.33,logistic_regression,123
68,-148353.14,719,-206.33,logistic_regression,123
69,-148353.14,719,-206.33,logistic_regression,123
70,-148353.14,719,-206.33,logistic_regression,123
71,-148353.14,719,-206.33,logistic_regression,123
72,-148353.14,719,-206.33,logistic_regression,123
73,-148353.14,719,-206.33,logistic_regression,123
74,-148353.14,719,-206.33,logistic_regression,123
75,-148353.14,719,-206.33,logistic_regression,123
76,-148353.14,719,-206.33,logistic_regression,123
77,-148353.14,719,-206.33,logistic_regression,123
78,-148353.14,719,-206.33,logistic_regression,123
79,-148353.14,719,-206.33,logistic_regression,123
80,-148353.14,719,-206.33,logistic_regression,123
81,-148353.14,719,-206.33,logistic_regression,123
82,-148353.14,719,-206.33,logistic_regression,123
83,-148353.14,719,-206.33,logistic_regression,123
84,-148353.14,719,-206.33,logistic_regression,123
85,-148353.14,719,-206.33,logistic_regression,123
86,-148353.14,719,-206.33,logistic_regression,123
87,-148353.14,719,-206.33,logistic_regression,123
88,-148353.14,719,-206.33,logistic_regression,123
89,-148353.14,719,-206.33,logistic_regression,123
90,-148353.14,719,-206.33,logistic_regression,123
91,-148353.14,719,-206.33,logistic_regression,123
92,-148353.14,719,-206.33,logistic_regression,123
93,-148353.14,719,-206.33,logistic_regression,123
94,-148353.14,719,-206.33,logistic_regression,123
95,-148353.14,719,-206.33,logistic_regression,123
96,-148353.14,719,-206.33,logistic_regression,123
97,-148353.14,719,-206.33,logistic_regression,123
98,-148353.14,719,-206.33,logistic_regression,123
99,-148353.14,719,-206.33,logistic_regression,123
100,-148353.14,719,-206.33,logistic_regression,123
101,-148353.14,719,-206.33,logistic_regression,123
102,-148353.14,719,-206.33,logistic_regression,123
103,-148353.14,719,-206.33,logistic_regression,123
104,-148353.14,719,-206.33,logistic_regression,123
105,-148353.14,719,-206.33,logistic_regression,123
106,-148353.14,719,-206.33,logistic_regression,123
107,-148353.14,719,-206.33,logistic_regression,123
108,-148353.14,719,-206.33,logistic_regression,123
109,-148353.14,719,-206.33,logistic_regression,123
110,-148353.14,719,-206.33,logistic_regression,123
111,-148353.14,719,-206.33,logistic_regression,123
112,-148353.14,719,-206.33,logistic_regression,123
113,-148353.14,719,-206.33,logistic_regression,123
114,-148353.14,719,-206.33,logistic_regression,123
115,-148353.14,719,-206.33,logistic_regression,123
116,-148353.14,719,-206.33,logistic_regression,123
117,-148353.14,719,-206.33,logistic_regression,123
118,-148353.14,719,-206.33,logistic_regression,123
119,-148353.14,719,-206.33,logistic_regression,123
120,-148353.14,719,-206.33,logistic_regression,123
121,-148353.14,719,-206.33,logistic_regression,123
122,-148353.14,719,-206.33,logistic_regression,123
123,-148353.14,719,-206.33,logistic_regression,123
124,-148353.14,719,-206.33,logistic_regression,123
125,-148353.14,719,-206.33,logistic_regression,123
126,-148353.14,719,-206.33,logistic_regression,123
127,-148353.14,719,-206.33,logistic_regression,123
128,-148353.14,719,-206.33,logistic_regression,123
129,-148353.14,719,-206.33,logistic_regression,123
130,-148353.14,719,-206.33,logistic_regression,123
131,-148353.14,719,-206.33,logistic_regression,123
132,-148353.14,719,-206.33,logistic_regression,123
133,-148353.14,719,-206.33,logistic_regression,123
134,-148353.14,719,-206.33,logistic_regression,123
135,-148353.14,719,-206.33,logistic_regression,123
136,-148353.14,719,-206.33,logistic_regression,123
137,-148353.14,719,-206.33,logistic_regression,123
138,-148353.14,719,-206.33,logistic_regression,123
139,-148353.14,719,-206.33,logistic_regression,123
140,-148353.14,719,-206.33,logistic_regression,123
141,-148353.14,719,-206.33,logistic_regression,123
142,-148353.14,719,-206.33,logistic_regression,123
143,-148353.14,719,-206.33,logistic_regression,123
144,-148353.14,719,-206.33,logistic_regression,123
145,-148353.14,719,-206.33,logistic_regression,123
146,-148353.14,719,-206.33,logistic_regression,123
147,-148353.14,719,-206.33,logistic_regression,123
148,-148353.14,719,-206.33,logistic_regression,123
149,-148353.14,719,-206.33,logistic_regression,123
150,-148353.14,719,-206.33,logistic_regression,123
151,-148353.14,719,-206.33,logistic_regression,123
152,-148353.14,719,-206.33,logistic_regression,123
153,-148353.14,719,-206.33,logistic_regression,123
154,-148353.14,719,-206.33,logistic_regression,123
155,-148353.14,719,-206.33,logistic_regression,123
156,-148353.14,719,-206.33,logistic_regression,123
157,-148353.14,719,-206.33,logistic_regression,123
158,-148353.14,719,-206.33,logistic_regression,123
159,-148353.14,719,-206.33,logistic_regression,123
160,-148353.14,719,-206.33,logistic_regression,123
161,-148353.14,719,-206.33,logistic_regression,123
162,-148353.14,719,-206.33,logistic_regression,123
163,-148353.14,719,-206.33,logistic_regression,123
164,-148353.14,719,-206.33,logistic_regression,123
165,-148353.14,719,-206.33,logistic_regression,123
166,-148353.14,719,-206.33,logistic_regression,123
167,-148353.14,719,-206.33,logistic_regression,123
168,-148353.14,719,-206.33,logistic_regression,123
169,-148353.14,719,-206.33,logistic_regression,123
170,-148353.14,719,-206.33,logistic_regression,123
171,-148353.14,719,-206.33,logistic_regression,123
172,-148353.14,719,-206.33,logistic_regression,123
173,-148353.14,719,-206.33,logistic_regression,123
174,-148353.14,719,-206.33,logistic_regression,123
175,-148353.14,719,-206.33,logistic_regression,123
176,-148353.14,719,-206.33,logistic_regression,123
177,-148353.14,719,-206.33,logistic_regression,123
178,-148353.14,719,-206.33,logistic_regression,123
179,-148353.14,719,-206.33,logistic_regression,123
180,-148353.14,719,-206.33,logistic_regression,123
181,-148353.14,719,-206.33,logistic_regression,123
182,-148353.14,719,-206.33,logistic_regression,123
183,-148353.14,719,-206.33,logistic_regression,123
184,-148353.14,719,-206.33,logistic_regression,123
185,-148353.14,719,-206.33,logistic_regression,123
186,-148353.14,719,-206.33,logistic_regression,123
187,-148353.14,719,-206.33,logistic_regression,123
188,-148353.14,719,-206.33,logistic_regression,123
189,-148353.14,719,-206.33,logistic_regression,123
190,-148353.14,719,-206.33,logistic_regression,123
191,-148353.14,719,-206.33,logistic_regression,123
192,-148353.14,719,-206.33,logistic_regression,123
193,-148353.14,719,-206.33,logistic_regression,123
194,-148353.14,719,-206.33,logistic_regression,123
195,-148353.14,719,-206.33,logistic_regression,123
196,-148353.14,719,-206.33,logistic_regression,123
197,-148353.14,719,-206.33,logistic_regression,123
198,-148353.14,719,-206.33,logistic_regression,123
199,-148353.14,719,-206.33,logistic_regression,123
200,-148353.14,719,-206.33,logistic_regression,123
201,-148353.14,719,-206.33,logistic_regression,123
202,-148353.14,719,-206.33,logistic_regression,123
203,-148353.14,719,-206.33,logistic_regression,123
204,-148353.14,719,-206.33,logistic_regression,123
205,-148353.14,719,-206.33,logistic_regression,123
206,-148353.14,719,-206.33,logistic_regression,123
207,-148353.14,719,-206.33,logistic_regression,123
208,-148353.14,719,-206.33,logistic_regression,123
209,-148353.14,719,-206.33,logistic_regression,123
210,-148353.14,719,-206.33,logistic_regression,123
211,-148353.14,719,-206.33,logistic_regression,123
212,-148353.14,719,-206.33,logistic_regression,123
213,-148353.14,719,-206.33,logistic_regression,123
214,-148353.14,719,-206.33,logistic_regression,123
215,-148353.14,719,-206.33,logistic_regression,123
216,-148353.14,719,-206.33,logistic_regression,123
217,-148353.14,719,-206.33,logistic_regression,123
218,-148353.14,719,-206.33,logistic_regression,123
219,-148353.14,719,-206.33,logistic_regression,123
220,-148353.14,719,-206.33,logistic_regression,123
221,-148353.14,719,-206.33,logistic_regression,123
222,-148353.14,719,-206.33,logistic_regression,123
223,-148353.14,719,-206.33,logistic_regression,123
224,-148353.14,719,-206.33,logistic_regression,123
225,-148353.14,719,-206.33,logistic_regression,123
226,-148353.14,719,-206.33,logistic_regression,123
227,-148353.14,719,-206.33,logistic_regression,123
228,-148353.14,719,-206.33,logistic_regression,123
229,-148353.14,719,-206.33,logistic_regression,123
230,-148353.14,719,-206.33,logistic_regression,123
231,-148353.14,719,-206.33,logistic_regression,123
232,-148353.14,719,-206.33,logistic_regression,123
233,-148353.14,719,-206.33,logistic_regression,123
234,-148353.14,719,-206.33,logistic_regression,123
235,-148353.14,719,-206.33,logistic_regression,123
236,-148353.14,719,-206.33,logistic_regression,123
237,-148353.14,719,-206.33,logistic_regression,123
238,-148353.14,719,-206.33,logistic_regression,123
239,-148353.14,719,-206.33,logistic_regression,123
240,-148353.14,719,-206.33,logistic_regression,123
241,-148353.14,719,-206.33,logistic_regression,123
242,-148353.14,719,-206.33,logistic_regression,123
243,-148353.14,719,-206.33,logistic_regression,123
244,-148353.14,719,-206.33,logistic_regression,123
245,-148353.14,719,-206.33,logistic_regression,123
246,-148353.14,719,-206.33,logistic_regression,123
247,-148353.14,719,-206.33,logistic_regression,123
248,-148353.14,719,-206.33,logistic_regression,123
249,-148353.14,719,-206.33,logistic_regression,123
250,-148353.14,719,-206.33,logistic_regression,123
251,-148353.14,719,-206.33,logistic_regression,123
252,-148353.14,719,-206.33,logistic_regression,123
253,-148353.14,719,-206.33,logistic_regression,123
254,-148353.14,719,-206.33,logistic_regression,123
255,-148353.14,719,-206.33,logistic_regression,123
256,-148353.14,719,-206.33,logistic_regression,123
257,-148353.14,719,-206.33,logistic_regression,123
258,-148353.14,719,-206.33,logistic_regression,123
259,-148353.14,719,-206.33,logistic_regression,123
260,-148353.14,719,-206.33,logistic_regression,123
261,-148353.14,719,-206.33,logistic_regression,123
262,-148353.14,719,-206.33,logistic_regression,123
263,-148353.14,719,-206.33,logistic_regression,123
264,-148353.14,719,-206.33,logistic_regression,123
265,-148353.14,719,-206.33,logistic_regression,123
266,-148353.14,719,-206.33,logistic_regression,123
267,-148353.14,719,-206.33,logistic_regression,123
268,-148353.14,719,-206.33,logistic_regression,123
269,-148353.14,719,-206.33,logistic_regression,123
270,-148353.14,719,-206.33,logistic_regression,123
271,-148353.14,719,-206.33,logistic_regression,123
272,-148353.14,719,-206.33,logistic_regression,123
273,-148353.14,719,-206.33,logistic_regression,123
274,-148353.14,719,-206.33,logistic_regression,123
275,-148353.14,719,-206.33,logistic_regression,123
276,-148353.14,719,-206.33,logistic_regression,123
277,-148353.14,719,-206.33,logistic_regression,123
278,-148353.14,719,-206.33,logistic_regression,123
279,-148353.14,719,-206.33,logistic_regression,123
280,-148353.14,719,-206.33,logistic_regression,123
281,-148353.14,719,-206.33,logistic_regression,123
282,-148353.14,719,-206.33,logistic_regression,123
283,-148353.14,719,-206.33,logistic_regression,123
284,-148353.14,719,-206.33,logistic_regression,123
285,-148353.14,719,-206.33,logistic_regression,123
286,-148353.14,719,-206.33,logistic_regression,123
287,-148353.14,719,-206.33,logistic_regression,123
288,-148353.14,719,-206.33,logistic_regression,123
289,-148353.14,719,-206.33,logistic_regression,123
290,-148353.14,719,-206.33,logistic_regression,123
291,-148353.14,719,-206.33,logistic_regression,123
292,-148353.14,719,-206.33,logistic_regression,123
293,-148353.14,719,-206.33,logistic_regression,123
294,-148353.14,719,-206.33,logistic_regression,123
295,-148353.14,719,-206.33,logistic_regression,123
296,-148353.14,719,-206.33,logistic_regression,123
297,-148353.14,719,-206.33,logistic_regression,123
298,-148353.14,719,-206.33,logistic_regression,123
299,-148353.14,719,-206.33,logistic_regression,123
300,-148353.14,719,-206.33,logistic_regression,123
301,-148353.14,719,-206.33,logistic_regression,123
302,-148353.14,719,-206.33,logistic_regression,123
303,-148353.14,719,-206.33,logistic_regression,123
304,-148353.14,719,-206.33,logistic_regression,123
305,-148353.14,719,-206.33,logistic_regression,123
306,-148353.14,719,-206.33,logistic_regression,123
307,-148353.14,719,-206.33,logistic_regression,123
308,-148353.14,719,-206.33,logistic_regression,123
309,-148353.14,719,-206.33,logistic_regression,123
310,-148353.14,719,-206.33,logistic_regression,123
311,-148353.14,719,-206.33,logistic_regression,123
312,-148353.14,719,-206.33,logistic_regression,123
313,-148353.14,719,-206.33,logistic_regression,123
314,-148353.14,719,-206.33,logistic_regression,123
315,-148353.14,719,-206.33,logistic_regression,123
316,-148353.14,719,-206.33,logistic_regression,123
317,-148353.14,719,-206.33,logistic_regression,123
318,-148353.14,719,-206.33,logistic_regression,123
319,-148353.14,719,-206.33,logistic_regression,123
320,-148353.14,719,-206.33,logistic_regression,123
321,-148353.14,719,-206.33,logistic_regression,123
322,-148353.14,719,-206.33,logistic_regression,123
323,-148353.14,719,-206.33,logistic_regression,123
324,-148353.14,719,-206.33,logistic_regression,123
325,-148353.14,719,-206.33,logistic_regression,123
326,-148353.14,719,-206.33,logistic_regression,123
327,-148353.14,719,-206.33,logistic_regression,123
328,-148353.14,719,-206.33,logistic_regression,123
