episode,total_reward,num_steps,avg_reward_per_step,model,seed
0,-164702.97,719,-229.07,random_forest,999
1,-164702.97,719,-229.07,random_forest,999
2,-164702.97,719,-229.07,random_forest,999
3,-164702.97,719,-229.07,random_forest,999
4,-164702.97,719,-229.07,random_forest,999
5,-164702.97,719,-229.07,random_forest,999
6,-164702.97,719,-229.07,random_forest,999
7,-164702.97,719,-229.07,random_forest,999
8,-164702.97,719,-229.07,random_forest,999
9,-164702.97,719,-229.07,random_forest,999
10,-164702.97,719,-229.07,random_forest,999
11,-164702.97,719,-229.07,random_forest,999
12,-164702.97,719,-229.07,random_forest,999
13,-164702.97,719,-229.07,random_forest,999
14,-164702.97,719,-229.07,random_forest,999
15,-164702.97,719,-229.07,random_forest,999
16,-164702.97,719,-229.07,random_forest,999
17,-164702.97,719,-229.07,random_forest,999
18,-164702.97,719,-229.07,random_forest,999
19,-164702.97,719,-229.07,random_forest,999
20,-164702.97,719,-229.07,random_forest,999
21,-164702.97,719,-229.07,random_forest,999
22,-164702.97,719,-229.07,random_forest,999
23,-164702.97,719,-229.07,random_forest,999
24,-164702.97,719,-229.07,random_forest,999
25,-164702.97,719,-229.07,random_forest,999
26,-164702.97,719,-229.07,random_forest,999
27,-164702.97,719,-229.07,random_forest,999
28,-164702.97,719,-229.07,random_forest,999
29,-164702.97,719,-229.07,random_forest,999
30,-164702.97,719,-229.07,random_forest,999
31,-164702.97,719,-229.07,random_forest,999
32,-164702.97,719,-229.07,random_forest,999
33,-164702.97,719,-229.07,random_forest,999
34,-164702.97,719,-229.07,random_forest,999
35,-164702.97,719,-229.07,random_forest,999
36,-164702.97,719,-229.07,random_forest,999
37,-164702.97,719,-229.07,random_forest,999
38,-164702.97,719,-229.07,random_forest,999
39,-164702.97,719,-229.07,random_forest,999
40,-164702.97,719,-229.07,random_forest,999
41,-164702.97,719,-229.07,random_forest,999
42,-164702.97,719,-229.07,random_forest,999
43,-164702.97,719,-229.07,random_forest,999
44,-164702.97,719,-229.07,random_forest,999
45,-164702.97,719,-229.07,random_forest,999
46,-164702.97,719,-229.07,random_forest,999
47,-164702.97,719,-229.07,random_forest,999
48,-164702.97,719,-229.07,random_forest,999
49,-164702.97,719,-229.07,random_forest,999
50,-164702.97,719,-229.07,random_forest,999
51,-164702.97,719,-229.07,random_forest,999
52,-164702.97,719,-229.07,random_forest,999
53,-164702.97,719,-229.07,random_forest,999
54,-164702.97,719,-229.07,random_forest,999
55,-164702.97,719,-229.07,random_forest,999
56,-164702.97,719,-229.07,random_forest,999
57,-164702.97,719,-229.07,random_forest,999
58,-164702.97,719,-229.07,random_forest,999
59,-164702.97,719,-229.07,random_forest,999
60,-164702.97,719,-229.07,random_forest,999
61,-164702.97,719,-229.07,random_forest,999
62,-164702.97,719,-229.07,random_forest,999
63,-164702.97,719,-229.07,random_forest,999
64,-164702.97,719,-229.07,random_forest,999
65,-164702.97,719,-229.07,random_forest,999
66,-164702.97,719,-229.07,random_forest,999
67,-164702.97,719,-229.07,random_forest,999
68,-164702.97,719,-229.07,random_forest,999
69,-164702.97,719,-229.07,random_forest,999
70,-164702.97,719,-229.07,random_forest,999
71,-164702.97,719,-229.07,random_forest,999
72,-164702.97,719,-229.07,random_forest,999
73,-164702.97,719,-229.07,random_forest,999
74,-164702.97,719,-229.07,random_forest,999
75,-164702.97,719,-229.07,random_forest,999
76,-164702.97,719,-229.07,random_forest,999
77,-164702.97,719,-229.07,random_forest,999
78,-164702.97,719,-229.07,random_forest,999
79,-164702.97,719,-229.07,random_forest,999
80,-164702.97,719,-229.07,random_forest,999
81,-164702.97,719,-229.07,random_forest,999
82,-164702.97,719,-229.07,random_forest,999
83,-164702.97,719,-229.07,random_forest,999
84,-164702.97,719,-229.07,random_forest,999
85,-164702.97,719,-229.07,random_forest,999
86,-164702.97,719,-229.07,random_forest,999
87,-164702.97,719,-229.07,random_forest,999
88,-164702.97,719,-229.07,random_forest,999
89,-164702.97,719,-229.07,random_forest,999
90,-164702.97,719,-229.07,random_forest,999
91,-164702.97,719,-229.07,random_forest,999
92,-164702.97,719,-229.07,random_forest,999
93,-164702.97,719,-229.07,random_forest,999
94,-164702.97,719,-229.07,random_forest,999
95,-164702.97,719,-229.07,random_forest,999
96,-164702.97,719,-229.07,random_forest,999
97,-164702.97,719,-229.07,random_forest,999
