episode,total_reward,num_steps,avg_reward_per_step,model,seed
0,-1165.68,719,-1.62,rule_based,42
1,-1165.68,719,-1.62,rule_based,42
2,-1165.68,719,-1.62,rule_based,42
3,-1165.68,719,-1.62,rule_based,42
4,-1165.68,719,-1.62,rule_based,42
5,-1165.68,719,-1.62,rule_based,42
6,-1165.68,719,-1.62,rule_based,42
7,-1165.68,719,-1.62,rule_based,42
8,-1165.68,719,-1.62,rule_based,42
9,-1165.68,719,-1.62,rule_based,42
10,-1165.68,719,-1.62,rule_based,42
11,-1165.68,719,-1.62,rule_based,42
12,-1165.68,719,-1.62,rule_based,42
13,-1165.68,719,-1.62,rule_based,42
14,-1165.68,719,-1.62,rule_based,42
15,-1165.68,719,-1.62,rule_based,42
16,-1165.68,719,-1.62,rule_based,42
17,-1165.68,719,-1.62,rule_based,42
18,-1165.68,719,-1.62,rule_based,42
19,-1165.68,719,-1.62,rule_based,42
20,-1165.68,719,-1.62,rule_based,42
21,-1165.68,719,-1.62,rule_based,42
22,-1165.68,719,-1.62,rule_based,42
23,-1165.68,719,-1.62,rule_based,42
24,-1165.68,719,-1.62,rule_based,42
25,-1165.68,719,-1.62,rule_based,42
26,-1165.68,719,-1.62,rule_based,42
27,-1165.68,719,-1.62,rule_based,42
28,-1165.68,719,-1.62,rule_based,42
29,-1165.68,719,-1.62,rule_based,42
30,-1165.68,719,-1.62,rule_based,42
31,-1165.68,719,-1.62,rule_based,42
32,-1165.68,719,-1.62,rule_based,42
33,-1165.68,719,-1.62,rule_based,42
34,-1165.68,719,-1.62,rule_based,42
35,-1165.68,719,-1.62,rule_based,42
36,-1165.68,719,-1.62,rule_based,42
37,-1165.68,719,-1.62,rule_based,42
38,-1165.68,719,-1.62,rule_based,42
39,-1165.68,719,-1.62,rule_based,42
40,-1165.68,719,-1.62,rule_based,42
41,-1165.68,719,-1.62,rule_based,42
42,-1165.68,719,-1.62,rule_based,42
43,-1165.68,719,-1.62,rule_based,42
44,-1165.68,719,-1.62,rule_based,42
45,-1165.68,719,-1.62,rule_based,42
46,-1165.68,719,-1.62,rule_based,42
47,-1165.68,719,-1.62,rule_based,42
48,-1165.68,719,-1.62,rule_based,42
49,-1165.68,719,-1.62,rule_based,42
50,-1165.68,719,-1.62,rule_based,42
51,-1165.68,719,-1.62,rule_based,42
52,-1165.68,719,-1.62,rule_based,42
53,-1165.68,719,-1.62,rule_based,42
54,-1165.68,719,-1.62,rule_based,42
55,-1165.68,719,-1.62,rule_based,42
56,-1165.68,719,-1.62,rule_based,42
57,-1165.68,719,-1.62,rule_based,42
58,-1165.68,719,-1.62,rule_based,42
59,-1165.68,719,-1.62,rule_based,42
60,-1165.68,719,-1.62,rule_based,42
61,-1165.68,719,-1.62,rule_based,42
62,-1165.68,719,-1.62,rule_based,42
63,-1165.68,719,-1.62,rule_based,42
64,-1165.68,719,-1.62,rule_based,42
65,-1165.68,719,-1.62,rule_based,42
66,-1165.68,719,-1.62,rule_based,42
67,-1165.68,719,-1.62,rule_based,42
68,-1165.68,719,-1.62,rule_based,42
69,-1165.68,719,-1.62,rule_based,42
70,-1165.68,719,-1.62,rule_based,42
71,-1165.68,719,-1.62,rule_based,42
72,-1165.68,719,-1.62,rule_based,42
73,-1165.68,719,-1.62,rule_based,42
74,-1165.68,719,-1.62,rule_based,42
75,-1165.68,719,-1.62,rule_based,42
76,-1165.68,719,-1.62,rule_based,42
77,-1165.68,719,-1.62,rule_based,42
78,-1165.68,719,-1.62,rule_based,42
79,-1165.68,719,-1.62,rule_based,42
80,-1165.68,719,-1.62,rule_based,42
81,-1165.68,719,-1.62,rule_based,42
82,-1165.68,719,-1.62,rule_based,42
83,-1165.68,719,-1.62,rule_based,42
84,-1165.68,719,-1.62,rule_based,42
85,-1165.68,719,-1.62,rule_based,42
86,-1165.68,719,-1.62,rule_based,42
87,-1165.68,719,-1.62,rule_based,42
88,-1165.68,719,-1.62,rule_based,42
89,-1165.68,719,-1.62,rule_based,42
90,-1165.68,719,-1.62,rule_based,42
91,-1165.68,719,-1.62,rule_based,42
92,-1165.68,719,-1.62,rule_based,42
93,-1165.68,719,-1.62,rule_based,42
94,-1165.68,719,-1.62,rule_based,42
95,-1165.68,719,-1.62,rule_based,42
96,-1165.68,719,-1.62,rule_based,42
97,-1165.68,719,-1.62,rule_based,42
98,-1165.68,719,-1.62,rule_based,42
99,-1165.68,719,-1.62,rule_based,42
100,-1165.68,719,-1.62,rule_based,42
101,-1165.68,719,-1.62,rule_based,42
102,-1165.68,719,-1.62,rule_based,42
103,-1165.68,719,-1.62,rule_based,42
104,-1165.68,719,-1.62,rule_based,42
105,-1165.68,719,-1.62,rule_based,42
106,-1165.68,719,-1.62,rule_based,42
107,-1165.68,719,-1.62,rule_based,42
108,-1165.68,719,-1.62,rule_based,42
109,-1165.68,719,-1.62,rule_based,42
110,-1165.68,719,-1.62,rule_based,42
111,-1165.68,719,-1.62,rule_based,42
