episode,total_reward,num_steps,avg_reward_per_step,model,seed
0,-1165.68,719,-1.62,rule_based,999
1,-1165.68,719,-1.62,rule_based,999
2,-1165.68,719,-1.62,rule_based,999
3,-1165.68,719,-1.62,rule_based,999
4,-1165.68,719,-1.62,rule_based,999
5,-1165.68,719,-1.62,rule_based,999
6,-1165.68,719,-1.62,rule_based,999
7,-1165.68,719,-1.62,rule_based,999
8,-1165.68,719,-1.62,rule_based,999
9,-1165.68,719,-1.62,rule_based,999
10,-1165.68,719,-1.62,rule_based,999
11,-1165.68,719,-1.62,rule_based,999
12,-1165.68,719,-1.62,rule_based,999
13,-1165.68,719,-1.62,rule_based,999
14,-1165.68,719,-1.62,rule_based,999
15,-1165.68,719,-1.62,rule_based,999
16,-1165.68,719,-1.62,rule_based,999
17,-1165.68,719,-1.62,rule_based,999
18,-1165.68,719,-1.62,rule_based,999
19,-1165.68,719,-1.62,rule_based,999
20,-1165.68,719,-1.62,rule_based,999
21,-1165.68,719,-1.62,rule_based,999
22,-1165.68,719,-1.62,rule_based,999
23,-1165.68,719,-1.62,rule_based,999
24,-1165.68,719,-1.62,rule_based,999
25,-1165.68,719,-1.62,rule_based,999
26,-1165.68,719,-1.62,rule_based,999
27,-1165.68,719,-1.62,rule_based,999
28,-1165.68,719,-1.62,rule_based,999
29,-1165.68,719,-1.62,rule_based,999
30,-1165.68,719,-1.62,rule_based,999
31,-1165.68,719,-1.62,rule_based,999
32,-1165.68,719,-1.62,rule_based,999
33,-1165.68,719,-1.62,rule_based,999
34,-1165.68,719,-1.62,rule_based,999
35,-1165.68,719,-1.62,rule_based,999
36,-1165.68,719,-1.62,rule_based,999
37,-1165.68,719,-1.62,rule_based,999
38,-1165.68,719,-1.62,rule_based,999
39,-1165.68,719,-1.62,rule_based,999
40,-1165.68,719,-1.62,rule_based,999
41,-1165.68,719,-1.62,rule_based,999
42,-1165.68,719,-1.62,rule_based,999
43,-1165.68,719,-1.62,rule_based,999
44,-1165.68,719,-1.62,rule_based,999
45,-1165.68,719,-1.62,rule_based,999
46,-1165.68,719,-1.62,rule_based,999
47,-1165.68,719,-1.62,rule_based,999
48,-1165.68,719,-1.62,rule_based,999
49,-1165.68,719,-1.62,rule_based,999
50,-1165.68,719,-1.62,rule_based,999
51,-1165.68,719,-1.62,rule_based,999
52,-1165.68,719,-1.62,rule_based,999
53,-1165.68,719,-1.62,rule_based,999
54,-1165.68,719,-1.62,rule_based,999
55,-1165.68,719,-1.62,rule_based,999
56,-1165.68,719,-1.62,rule_based,999
57,-1165.68,719,-1.62,rule_based,999
58,-1165.68,719,-1.62,rule_based,999
59,-1165.68,719,-1.62,rule_based,999
60,-1165.68,719,-1.62,rule_based,999
61,-1165.68,719,-1.62,rule_based,999
62,-1165.68,719,-1.62,rule_based,999
63,-1165.68,719,-1.62,rule_based,999
64,-1165.68,719,-1.62,rule_based,999
65,-1165.68,719,-1.62,rule_based,999
66,-1165.68,719,-1.62,rule_based,999
67,-1165.68,719,-1.62,rule_based,999
68,-1165.68,719,-1.62,rule_based,999
69,-1165.68,719,-1.62,rule_based,999
70,-1165.68,719,-1.62,rule_based,999
71,-1165.68,719,-1.62,rule_based,999
72,-1165.68,719,-1.62,rule_based,999
73,-1165.68,719,-1.62,rule_based,999
74,-1165.68,719,-1.62,rule_based,999
75,-1165.68,719,-1.62,rule_based,999
76,-1165.68,719,-1.62,rule_based,999
77,-1165.68,719,-1.62,rule_based,999
78,-1165.68,719,-1.62,rule_based,999
79,-1165.68,719,-1.62,rule_based,999
80,-1165.68,719,-1.62,rule_based,999
81,-1165.68,719,-1.62,rule_based,999
82,-1165.68,719,-1.62,rule_based,999
83,-1165.68,719,-1.62,rule_based,999
84,-1165.68,719,-1.62,rule_based,999
85,-1165.68,719,-1.62,rule_based,999
86,-1165.68,719,-1.62,rule_based,999
87,-1165.68,719,-1.62,rule_based,999
88,-1165.68,719,-1.62,rule_based,999
89,-1165.68,719,-1.62,rule_based,999
90,-1165.68,719,-1.62,rule_based,999
91,-1165.68,719,-1.62,rule_based,999
92,-1165.68,719,-1.62,rule_based,999
93,-1165.68,719,-1.62,rule_based,999
94,-1165.68,719,-1.62,rule_based,999
95,-1165.68,719,-1.62,rule_based,999
96,-1165.68,719,-1.62,rule_based,999
97,-1165.68,719,-1.62,rule_based,999
98,-1165.68,719,-1.62,rule_based,999
99,-1165.68,719,-1.62,rule_based,999
100,-1165.68,719,-1.62,rule_based,999
101,-1165.68,719,-1.62,rule_based,999
102,-1165.68,719,-1.62,rule_based,999
103,-1165.68,719,-1.62,rule_based,999
104,-1165.68,719,-1.62,rule_based,999
105,-1165.68,719,-1.62,rule_based,999
106,-1165.68,719,-1.62,rule_based,999
107,-1165.68,719,-1.62,rule_based,999
108,-1165.68,719,-1.62,rule_based,999
109,-1165.68,719,-1.62,rule_based,999
110,-1165.68,719,-1.62,rule_based,999
111,-1165.68,719,-1.62,rule_based,999
112,-1165.68,719,-1.62,rule_based,999
113,-1165.68,719,-1.62,rule_based,999
114,-1165.68,719,-1.62,rule_based,999
115,-1165.68,719,-1.62,rule_based,999
116,-1165.68,719,-1.62,rule_based,999
117,-1165.68,719,-1.62,rule_based,999
118,-1165.68,719,-1.62,rule_based,999
119,-1165.68,719,-1.62,rule_based,999
120,-1165.68,719,-1.62,rule_based,999
121,-1165.68,719,-1.62,rule_based,999
122,-1165.68,719,-1.62,rule_based,999
123,-1165.68,719,-1.62,rule_based,999
124,-1165.68,719,-1.62,rule_based,999
125,-1165.68,719,-1.62,rule_based,999
126,-1165.68,719,-1.62,rule_based,999
127,-1165.68,719,-1.62,rule_based,999
128,-1165.68,719,-1.62,rule_based,999
129,-1165.68,719,-1.62,rule_based,999
130,-1165.68,719,-1.62,rule_based,999
131,-1165.68,719,-1.62,rule_based,999
132,-1165.68,719,-1.62,rule_based,999
133,-1165.68,719,-1.62,rule_based,999
134,-1165.68,719,-1.62,rule_based,999
135,-1165.68,719,-1.62,rule_based,999
136,-1165.68,719,-1.62,rule_based,999
137,-1165.68,719,-1.62,rule_based,999
138,-1165.68,719,-1.62,rule_based,999
139,-1165.68,719,-1.62,rule_based,999
140,-1165.68,719,-1.62,rule_based,999
141,-1165.68,719,-1.62,rule_based,999
142,-1165.68,719,-1.62,rule_based,999
143,-1165.68,719,-1.62,rule_based,999
144,-1165.68,719,-1.62,rule_based,999
145,-1165.68,719,-1.62,rule_based,999
146,-1165.68,719,-1.62,rule_based,999
147,-1165.68,719,-1.62,rule_based,999
148,-1165.68,719,-1.62,rule_based,999
149,-1165.68,719,-1.62,rule_based,999
150,-1165.68,719,-1.62,rule_based,999
